0000.324772 0000027F 8 00 05 00 00 00 00 00 01
0000.325012 00000285 8 00 00 00 00 00 00 52 D9
0000.325258 00000284 8 00 00 00 00 00 00 52 D8
0000.329093 000001F9 6 20 00 7D 00 00 FF  
0000.329324 00000638 7 50 0F C5 90 00 00 00 
0000.329559 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.332022 000005FD 8 1F 64 55 4A C9 52 00 00
0000.333809 00000181 8 7D 00 32 10 32 20 32 00
0000.334049 000001F8 8 00 00 FF FF FE 00 00 0F
0000.334295 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.334536 000001FD 8 31 41 7F FF 7F FF 50 00
0000.334766 00000244 7 FE FE 00 18 00 00 FE 
0000.335867 000005E4 3 00 00 00     
0000.338708 000001F9 6 20 00 7D 00 00 FF  
0000.338954 00000427 8 DB FF FF C7 FF FF 28 00
0000.339195 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.340004 00000215 6 00 20 00 00 01 01  
0000.343818 00000181 8 7D 00 32 10 32 20 32 00
0000.344054 0000042E 8 FF FF DF FF E4 09 00 FF
0000.344294 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.344545 000001F8 8 00 00 FF FF FE 00 00 0F
0000.344801 0000027F 8 00 05 00 00 00 00 00 01
0000.345037 00000285 8 00 00 00 00 00 00 53 DA
0000.345277 00000284 8 00 00 00 00 00 00 53 D9
0000.345528 000005E9 8 00 38 00 00 00 18 00 02
0000.346097 00000651 2 04 F0      
0000.349117 000001F9 6 20 00 7D 00 00 FF  
0000.349373 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.352015 0000060D 8 0E 16 00 00 45 47 02 00
0000.353843 00000551 8 47 00 00 00 FE 02 00 00
0000.354089 000001F8 8 00 00 FF FF FE 00 00 0F
0000.354330 00000181 8 7D 00 32 10 32 20 32 00
0000.354560 00000244 7 FE FE 00 18 00 00 FE 
0000.354801 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.355046 00000354 8 00 00 00 00 00 00 06 00
0000.358866 000001F9 6 20 00 7D 00 00 FF  
0000.359096 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.359992 00000215 6 00 20 00 00 01 01  
0000.360202 00000625 6 82 60 E7 11 00 00  
0000.361953 00000366 4 00 00 00 A0    
0000.363796 00000181 8 7D 00 32 10 32 20 32 00
0000.364037 000001F8 8 00 00 FF FF FE 00 00 0F
0000.364283 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.364657 0000027F 8 00 05 00 00 00 00 00 01
0000.364897 00000285 8 00 00 00 00 00 00 54 DB
0000.365169 00000284 8 00 00 00 00 00 00 54 DA
0000.369091 000001F9 6 20 00 7D 00 00 FF  
0000.369341 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.371917 00000657 2 C1 C8      
0000.373827 00000181 8 7D 00 32 10 32 20 32 00
0000.374072 000001F8 8 00 00 FF FF FE 00 00 0F
0000.374313 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.374574 00000244 7 FE FE 00 18 00 00 FE 
0000.378798 000001F9 6 20 00 7D 00 00 FF  
0000.379044 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.380006 00000215 6 00 20 00 00 01 01  
0000.383831 00000181 8 7D 00 32 10 32 20 32 00
0000.384082 000001F8 8 00 00 FF FF FE 00 00 0F
0000.384317 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.384660 0000027F 8 00 05 00 00 00 00 00 01
0000.384906 00000285 8 00 00 00 00 00 00 55 DC
0000.385147 00000284 8 00 00 00 00 00 00 55 DB
0000.389181 000001F9 6 20 00 7D 00 00 FF  
0000.389432 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.391972 00000500 5 02 8D EA D4 5B   
0000.393800 00000181 8 7D 00 32 10 32 20 32 00
0000.394051 000001F8 8 00 00 FF FF FE 00 00 0F
0000.394286 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.394455 00000634 4 80 FE 00 00    
0000.394685 00000244 7 FE FE 00 18 00 00 FE 
0000.394982 00000354 8 00 00 00 00 00 00 06 00
0000.398807 000005DD 7 00 FF FF 00 00 FE 00 
0000.399022 000001F9 6 20 00 7D 00 00 FF  
0000.399293 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.400046 00000215 6 00 20 00 00 01 01  
0000.403471 000005C5 8 63 01 F6 45 06 A2 00 7F
0000.403686 00000511 7 00 F4 09 D5 05 83 BD 
0000.403927 00000181 8 7D 00 32 10 32 20 32 00
0000.404178 000001F8 8 00 00 FF FF FE 00 00 0F
0000.404413 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.404669 0000027F 8 00 05 00 00 00 00 00 01
0000.404915 00000285 8 00 00 00 00 00 00 56 DD
0000.405161 00000284 8 00 00 00 00 00 00 56 DC
0000.409052 000001F9 6 20 00 7D 00 00 FF  
0000.409303 0000018A 8 FF F0 00 1F FE 3C 00 00
0000.413430 00000645 5 00 FA FF 00 00   
0000.413896 00000181 8 7D 00 32 10 32 20 32 00
0000.414147 000001F8 8 00 00 FF FF FE 00 00 0F
0000.414382 0000017A 8 FF FF FF FF 00 F0 31 A3
0000.414612 00000244 7 FE FE 00 18 00 00 FE 
0000.414843 00000652 8 95 90 00 15 40 07 55 50
0000.418765 000001F9 6 20 00 7D 00 00 FF  
0000.418985 00000650 5 41 00 FF D6 00   
